categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
aretin-pivalanana,Inona no atao raha misy diarrhée ary tsy mahazo tory?,Smecta : 3 sachets isan andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha misy tazo,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,inona no atao raha misy diarrhee ary tsy mahazo tory
aretin-pivalanana,Mivalana be aho hatramin'ny 9 ora ahoana ny fitsaboana?,Smecta : 3 sachets isan andro mandritra ny 3 andro,Charbon activé : 2 comprimés 3x/andro,Aza mihinana voankazo manta,aretin-pivalanana,mivalana be aho hatramin'ny ora ahoana ny fitsaboana
aretin-kibo,Misy fanaintainana ao amin ny kiboko efa 6 andro lasa izay,Mébévérine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Métoclopramide : 3x/andro raha misy nausée,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,misy fanaintainana ao amin ny kiboko efa andro lasa izay marary manaintaina mangirifiry kibo kibony
aretim-po,Inona no atao raha foko mafy ary misy douleur?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,inona no atao raha foko mafy ary misy douleur fo
tazo,Misy tazo ary mitebiteby be aho mandritra ny andro manontolo,Aspirine 500 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Miala sasatra tsara ary misotroa rano mafana,tazo,misy tazo ary mitebiteby be aho mandritra ny andro manontolo manavy mafana mamay
kohaka,Inona no atao raha mikohaka aho ary reraka?,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,inona no atao raha mikohaka aho ary reraka kohaka
kohaka,Mikohaka mando ary misy siflema aho mandritra ny 2 andro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,mikohaka mando ary misy siflema aho mandritra ny andro kohaka
diabeta,Inona no atao raha mitebiteby sy reraka lava aho hatramin'ny alina?,Insuline : araka ny torohevitry ny dokotera,Atorvastatine : 1x/andro (hariva),Aza mihinana sakafo avy any ambanin ny tany matetika,diabeta,inona no atao raha mitebiteby sy reraka lava aho hatramin'ny alina
aretin-tenda,Inona no atao raha tendako marary sy mivonto?,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Vitamine C 500 mg : 1x/andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,inona no atao raha tendako marary sy mivonto tenda tendany marary tenda manaintaina mangirifiry fanaintainana
areti-maso,Mangorakoraka ny masoko ary mitebiteby hatramin'ny maraina,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,mangorakoraka ny masoko ary mitebiteby hatramin'ny maraina maso masony
aretin-tanana,Manaintaina ny tanako hatramin'ny herinandro ahoana ny fitsaboana?,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Vitamines B : 1x/andro (maraina),Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,manaintaina ny tanako hatramin'ny herinandro ahoana ny fitsaboana marary mangirifiry fanaintainana
kohaka,Mikohaka ary mafana kely ny vatako hatramin'ny 9 ora,Bromhexine sirop : 3x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka ary mafana kely ny vatako hatramin'ny ora kohaka tazo manavy mamay
aretin-tenda,Misy aretin-tenda mafy aho mandritra ny 2 andro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Vitamine C 500 mg : 1x/andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy aretin-tenda aretin tenda mafy aho mandritra ny andro tendako tendany marary tenda
aretin-pivalanana,Inona no atao raha misy diarrhée sy vomissement efa 6 andro lasa izay?,ORS (Sels de réhydratation orale) : misotroa betsaka,Charbon activé : 2 comprimés 3x/andro,Mihinana sakafo malefaka ary aza mihinana sakafo mafana be na mangatsiaka be loatra,aretin-pivalanana,inona no atao raha misy diarrhee sy vomissement efa andro lasa izay
aretin-tsaina,Tsy mahazo aina tsara ny saiko hatramin'ny 9 ora mba hanampy,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Vitamine B12 : 1x/andro (maraina),Miresaka amin ny olona matoky ary mitady fanampiana,aretin-tsaina,tsy mahazo aina tsara ny saiko hatramin'ny ora mba hanampy saina kivy
aretin-doha,Manaintaina ny lohako rehefa miasa mafy hatramin'ny maraina inona ny tokony hatao?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Caféine 100mg : 1x/andro (maraina),Aza mijery solosaina na finday ela loatra,aretin-doha,manaintaina ny lohako rehefa miasa mafy hatramin'ny maraina inona ny tokony hatao marary mangirifiry fanaintainana loha lohany
aretin-urinaire,Misy infection urinaire efa 6 andro lasa izay,Fosfomycine 3g : 1 sachet unique,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,misy infection urinaire efa andro lasa izay
tazo,Tazo mahery no mahazo ahy hatramin ny omaly mandritra ny 2 andro misy fanafody ve?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Matoria tsara ary miala manaova mafana tsara,tazo,tazo mahery no mahazo ahy hatramin ny omaly mandritra ny andro misy fanafody ve manavy mafana mamay
aretin-kibo,Marary ny kiboko ary very hery be aho hatramin'ny 9 ora misy fanafody ve?,Ranitidine 150 mg : 2x/andro (maraina-hariva),Dompéridone : 3x/andro alohan ny sakafo,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,marary ny kiboko ary very hery be aho hatramin'ny ora misy fanafody ve manaintaina mangirifiry fanaintainana kibo kibony
tazo,Tazo mahery no mahazo ahy mandritra ny 2 andro,Aspirine 500 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Matoria tsara ary miala manaova mafana tsara,tazo,tazo mahery no mahazo ahy mandritra ny andro manavy mafana mamay
aretim-po,Misy palpitation mafy aho hatramin'ny maraina,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,misy palpitation mafy aho hatramin'ny maraina
kohaka,Inona no atao raha mikohaka ary mafana kely ny vatako?,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,inona no atao raha mikohaka ary mafana kely ny vatako kohaka tazo manavy mamay
aretin-tratra,Misy aretin-tratra ary kohaka tsy mitsahatra aho efa 6 andro lasa izay ahoana ny fitsaboana?,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,misy aretin-tratra aretin tratra ary kohaka tsy mitsahatra aho efa andro lasa izay ahoana ny fitsaboana tratrako mikohaka
aretin-kibo,Inona no atao raha marary ny kiboko ary misy nausée be mandritra ny 2 andro?,Ranitidine 150 mg : 2x/andro (maraina-hariva),Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,inona no atao raha marary ny kiboko ary misy nausee be mandritra ny andro manaintaina mangirifiry fanaintainana kibo kibony
tazo,Inona no atao raha tazo mahery no mahazo ahy?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Métoclopramide : 3x/andro raha misy alahelo,Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,inona no atao raha tazo mahery no mahazo ahy manavy mafana mamay
aretin-urinaire,Misy cystite mafy aho hatramin'ny alina,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,misy cystite mafy aho hatramin'ny alina
aretin-tongotra,Inona no atao raha manaintaina ny tongotrako mandritra ny 2 andro?,Naproxène 500 mg : 2x/andro (maraina-hariva),Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,inona no atao raha manaintaina ny tongotrako mandritra ny andro marary mangirifiry fanaintainana
aretin-doha,Inona no atao raha migraine mafy no mahazo ahy?,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha ilaina,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,inona no atao raha migraine mafy no mahazo ahy
tazomoka,Voan ny tazomoka aho hatramin'ny herinandro mba hanampy,Artésunate : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka aho hatramin'ny herinandro mba hanampy tazo avy amin ny kaikitry ny moka
aretin-tanana,Inona no atao raha tanana marary ary tsy mahazo misasa hatramin ny omaly?,Kétoprofène gel : mametraka 3x/andro,Vitamines B : 1x/andro (maraina),Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,inona no atao raha tanana marary ary tsy mahazo misasa hatramin ny omaly tananako ankihibe ratsan-tanana manaintaina mangirifiry fanaintainana
aretin-tenda,Marary ny tendako rehefa mitelina mba hanampy,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Pastilles pour gorge : matetika isan andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,marary ny tendako rehefa mitelina mba hanampy manaintaina mangirifiry fanaintainana tenda tendany marary tenda
aretin-tanana,Tanana mivonto ary mena efa 6 andro lasa izay,Kétoprofène gel : mametraka 3x/andro,Gel anti-inflammatoire : mametraka 2x/andro,Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,tanana mivonto ary mena efa andro lasa izay tananako ankihibe ratsan-tanana
kohaka,Inona no atao raha mikohaka mafy aho mandritra ny 2 andro?,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,inona no atao raha mikohaka mafy aho mandritra ny andro kohaka
aretin-tenda,Misy aretin-tenda sy tazo mahery aho hatramin'ny herinandro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Spray antiseptique amin ny tendako : 3x/andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy aretin-tenda aretin tenda sy tazo mahery aho hatramin'ny herinandro tendako tendany marary tenda manavy mafana mamay
areti-maso,Mangorakoraka ny masoko ary mitebiteby hatramin'ny alina,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,mangorakoraka ny masoko ary mitebiteby hatramin'ny alina maso masony
aretin-tratra,Misy tsindry eo amin ny tratrako hatramin'ny alina,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Misotroa rano mafana foana ary matoria tsara,aretin-tratra,misy tsindry eo amin ny tratrako hatramin'ny alina tosi-dra hypertension tratra
tazo,Inona no atao raha ambony ny hafanana ny vatako 38 degre hatramin'ny alina?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Métoclopramide : 3x/andro raha misy alahelo,Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,inona no atao raha ambony ny hafanana ny vatako 38 degre hatramin'ny alina
tazomoka,Inona no atao raha mangovitra be aho ary voan ny tazomoka 39 degre ny hafanako hatramin ny omaly?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,inona no atao raha mangovitra be aho ary voan ny tazomoka 39 degre ny hafanako hatramin ny omaly tazo avy amin ny kaikitry ny moka
tazomoka,Inona no atao raha voan ny tazomoka ary aùbony be ny degre ny mari panako ary reraka mafy aho efa 6 andro lasa izay?,Quinine : 3x/andro mandritra ny 7 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,inona no atao raha voan ny tazomoka ary aubony be ny degre ny mari panako ary reraka mafy aho efa andro lasa izay tazo avy amin ny kaikitry ny moka
kohaka,Kohaka sy ranon-orona no mahazo ahy mandritra ny andro manontolo,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,kohaka sy ranon-orona ranon orona no mahazo ahy mandritra ny andro manontolo mikohaka
areti-maso,Misy conjonctivite aho mandritra ny 2 andro,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,misy conjonctivite aho mandritra ny andro
aretin-tenda,Misy pharyngite mafy aho efa 6 andro lasa izay,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Vitamine C 500 mg : 1x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,misy pharyngite mafy aho efa andro lasa izay
aretin-tenda,Inona no atao raha manaintaina ny tendako ary very hery aho hatramin'ny 9 ora?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Spray antiseptique amin ny tendako : 3x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,inona no atao raha manaintaina ny tendako ary very hery aho hatramin'ny ora marary mangirifiry fanaintainana tenda tendany marary tenda
areti-maso,Misy areti-maso aho misy fanafody ve?,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Larmes artificielles : matetika isan andro,Matoria tsara ary aza mijery finday sy solosaina lava,areti-maso,misy areti-maso areti maso aho misy fanafody ve masoko masony
areti-maso,Misy fanaintainana ao amin ny masoko hatramin'ny herinandro,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,misy fanaintainana ao amin ny masoko hatramin'ny herinandro marary manaintaina mangirifiry maso masony
aretim-po,Misy fanafihana eo amin ny foko inona ny tokony hatao?,Atorvastatine 10 mg : 1x/andro (hariva),Aspirine 75 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,misy fanafihana eo amin ny foko inona ny tokony hatao fo
kohaka,Misy siflema be aho hatramin'ny maraina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Cetirizine 10 mg : 1x/andro (hariva),Misotroa rano mafana sy tantely matetika isan andro,kohaka,misy siflema be aho hatramin'ny maraina
aretin-tenda,Misy aretin-tenda sy tazo mahery aho efa 6 andro lasa izay,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,misy aretin-tenda aretin tenda sy tazo mahery aho efa andro lasa izay tendako tendany marary tenda manavy mafana mamay
aretim-po,Mangorakoraka mafy ny foko hatramin ny omaly misy fanafody ve?,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,mangorakoraka mafy ny foko hatramin ny omaly misy fanafody ve fo
aretin-tanana,Manaintaina ny tanako rehefa miasa mandritra ny 2 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Ibuprofène gel : mametraka eo amin ny toerana marary,Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,manaintaina ny tanako rehefa miasa mandritra ny andro marary mangirifiry fanaintainana
aretin-tenda,Sarotra ny mitelina noho ny tendako marary efa 6 andro lasa izay,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,sarotra ny mitelina noho ny tendako marary efa andro lasa izay tenda tendany marary tenda manaintaina mangirifiry fanaintainana
tazo,Mafana be ny vatako 39 degre misy fanafody ve?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Matoria tsara ary miala manaova mafana tsara,tazo,mafana be ny vatako 39 degre misy fanafody ve tazo manavy mamay
aretin-kibo,Misy ulcère ny kiboko mba hanampy,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Antiacide : raha ilaina rehefa manaintaina,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,misy ulcere ny kiboko mba hanampy kibo kibony
kohaka,Tsy mitsahatra ny kohakako efa 6 andro lasa izay,Dextromethorphan sirop : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,tsy mitsahatra ny kohakako efa andro lasa izay
tazo,Misy tazo foana aho isak hariva hatramin'ny herinandro,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Miala sasatra tsara ary misotroa rano mafana,tazo,misy tazo foana aho isak hariva hatramin'ny herinandro manavy mafana mamay
tazomoka,Voan ny tazomoka ary mitebiteby be aho hatramin ny omaly,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazomoka ary mitebiteby be aho hatramin ny omaly tazo avy amin ny kaikitry ny moka
aretin-kibo,Tsy mahasahy mihinana aho noho ny kiboko marary hatramin'ny alina,Ranitidine 150 mg : 2x/andro (maraina-hariva),Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,tsy mahasahy mihinana aho noho ny kiboko marary hatramin'ny alina kibo kibony manaintaina mangirifiry fanaintainana
aretin-urinaire,Misy brûlure rehefa mivoaka pipi efa 6 andro lasa izay,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Misotroa rano cranberry,aretin-urinaire,misy brulure rehefa mivoaka pipi efa andro lasa izay mamany mipipi
diabeta,Siramamy ambony ary mitebiteby foana aho hatramin'ny alina ahoana ny fitsaboana?,Metformine 1000 mg : 2x/andro (maraina-hariva),Atorvastatine : 1x/andro (hariva),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,siramamy ambony ary mitebiteby foana aho hatramin'ny alina ahoana ny fitsaboana
aretim-po,Misy insuffisance cardiaque aho,Bisoprolol 5 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,aretim-po,misy insuffisance cardiaque aho
aretim-po,Misy arythmie aho efa 6 andro lasa izay,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,misy arythmie aho efa andro lasa izay
aretin-kibo,Inona no atao raha misy ulcère ny kiboko hatramin'ny 9 ora?,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,inona no atao raha misy ulcere ny kiboko hatramin'ny ora kibo kibony
aretin-tenda,Inona no atao raha manaintaina ny tendako ary very hery aho hatramin ny omaly?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,inona no atao raha manaintaina ny tendako ary very hery aho hatramin ny omaly marary mangirifiry fanaintainana tenda tendany marary tenda
areti-maso,Misy hazavana manelika eo amin ny masoko misy fanafody ve?,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,misy hazavana manelika eo amin ny masoko misy fanafody ve maso masony
aretin-doha,Inona no atao raha migraine mafy ary manaintaina ny masoko hatramin ny omaly?,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,inona no atao raha migraine mafy ary manaintaina ny masoko hatramin ny omaly marary mangirifiry fanaintainana maso masony
aretin-kibo,Marary ny kiboko ary misy nausée be mba hanampy,Mébévérine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,marary ny kiboko ary misy nausee be mba hanampy manaintaina mangirifiry fanaintainana kibo kibony
aretin-tanana,Misy tendinite eo amin ny tanako hatramin'ny alina,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,misy tendinite eo amin ny tanako hatramin'ny alina
aretin-urinaire,Inona no atao raha matetika mitebiteby be aho rehefa mivoaka pipi hatramin ny omaly?,Fosfomycine 3g : 1 sachet unique,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,inona no atao raha matetika mitebiteby be aho rehefa mivoaka pipi hatramin ny omaly mamany mipipi
areti-maso,Tsy mahita tsara aho hatramin'ny alina,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : matetika isan andro,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,tsy mahita tsara aho hatramin'ny alina
aretin-doha,Inona no atao raha marary ny lohako mandritra ny andro manontolo hatramin ny omaly?,Sumatriptan : 1x/andro raha ilaina,Métoclopramide : 3x/andro raha misy alahelo,Misotroa rano betsaka ary mila matory ampy 7-8 ora isan alina,aretin-doha,inona no atao raha marary ny lohako mandritra ny andro manontolo hatramin ny omaly manaintaina mangirifiry fanaintainana loha lohany
aretin-tenda,Misy infection ao amin ny tendako hatramin'ny herinandro mba hanampy,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Pastilles pour gorge : matetika isan andro,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,misy infection ao amin ny tendako hatramin'ny herinandro mba hanampy tenda tendany marary tenda
aretim-po,Misy angine de poitrine aho hatramin'ny maraina,Atorvastatine 10 mg : 1x/andro (hariva),Nitroglycérine spray : raha ilaina rehefa mafy,Aza tezitezitra soana amin'ny zavatra tsy misy dikany,aretim-po,misy angine de poitrine aho hatramin'ny maraina
aretin-tenda,Misy aretin-tenda mafy aho hatramin'ny alina misy fanafody ve?,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Vitamine C 500 mg : 1x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,misy aretin-tenda aretin tenda mafy aho hatramin'ny alina misy fanafody ve tendako tendany marary tenda
fiakaran-ny-tosi-dra,Tosi-dra ambony ary very hery hatramin'ny herinandro,Amlodipine 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,tosi-dra tosi dra ambony ary very hery hatramin'ny herinandro tsindry hypertension
tazomoka,Voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra hatramin ny omaly,Artésunate : 1x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra hatramin ny omaly tazo avy amin ny kaikitry ny moka
aretin-tenda,Inona no atao raha manaintaina mafy ny tendako mandritra ny andro manontolo?,Benzidamine spray : 3x/andro amin ny tendako,Spray antiseptique amin ny tendako : 3x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,inona no atao raha manaintaina mafy ny tendako mandritra ny andro manontolo marary mangirifiry fanaintainana tenda tendany marary tenda
aretin-tratra,Misy fanaintainana be ny tratrako ary very hery hatramin ny omaly,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,misy fanaintainana be ny tratrako ary very hery hatramin ny omaly marary manaintaina mangirifiry tratra
tazomoka,Inona no atao raha voan ny tazomoka aho ary marary ny kiboko mandritra ny andro manontolo?,Artésunate : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera,tazomoka,inona no atao raha voan ny tazomoka aho ary marary ny kiboko mandritra ny andro manontolo tazo avy amin ny kaikitry ny moka manaintaina mangirifiry fanaintainana kibo kibony
kohaka,Tsy mitsahatra ny kohakako hatramin ny omaly inona ny tokony hatao?,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana sy tantely matetika isan andro,kohaka,tsy mitsahatra ny kohakako hatramin ny omaly inona ny tokony hatao
aretin-tratra,Manaintaina ny tratrako mba hanampy,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,manaintaina ny tratrako mba hanampy marary mangirifiry fanaintainana tratra
aretin-tratra,Inona no atao raha misy kohaka sy tratrako ary marary mafy aho hatramin'ny 9 ora?,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Misotroa rano betsaka ary aza mihinana ranomandry,aretin-tratra,inona no atao raha misy kohaka sy tratrako ary marary mafy aho hatramin'ny ora mikohaka tratra manaintaina mangirifiry fanaintainana
aretin-urinaire,Inona no atao raha matetika mankany amin ny wc aho hatramin'ny maraina?,Fosfomycine 3g : 1 sachet unique,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,inona no atao raha matetika mankany amin ny wc aho hatramin'ny maraina
